LTLA23CD,UTLA23CD
E06000001,E06000001
E06000002,E06000002
E06000003,E06000003
E06000004,E06000004
E06000005,E06000005
E06000006,E06000006
E06000007,E06000007
E06000008,E06000008
E06000009,E06000009
E06000010,E06000010
E06000011,E06000011
E06000012,E06000012
E06000013,E06000013
E06000014,E06000014
E06000015,E06000015
E06000016,E06000016
E06000017,E06000017
E06000018,E06000018
E06000019,E06000019
E06000020,E06000020
E06000021,E06000021
E06000022,E06000022
E06000023,E06000023
E06000024,E06000024
E06000025,E06000025
E06000026,E06000026
E06000027,E06000027
E06000030,E06000030
E06000031,E06000031
E06000032,E06000032
E06000033,E06000033
E06000034,E06000034
E06000035,E06000035
E06000036,E06000036
E06000037,E06000037
E06000038,E06000038
E06000039,E06000039
E06000040,E06000040
E06000041,E06000041
E06000042,E06000042
E06000043,E06000043
E06000044,E06000044
E06000045,E06000045
E06000046,E06000046
E06000047,E06000047
E06000049,E06000049
E06000050,E06000050
E06000051,E06000051
E06000052,E06000052
E06000053,E06000053
E06000054,E06000054
E06000055,E06000055
E07000081,E10000013
E07000082,E10000013
E07000083,E10000013
E07000084,E10000014
E07000085,E10000014
E07000086,E10000014
E07000087,E10000014
E07000088,E10000014
E07000089,E10000014
E07000090,E10000014
E07000091,E10000014
E07000092,E10000014
E07000093,E10000014
E07000094,E10000014
E07000095,E10000015
E07000096,E10000015
E07000098,E10000015
E07000099,E10000015
E07000102,E10000015
E07000103,E10000015
E07000105,E10000016
E07000106,E10000016
E07000107,E10000016
E07000108,E10000016
E07000109,E10000016
E07000110,E10000016
E07000111,E10000016
E07000112,E10000016
E07000113,E10000016
E07000114,E10000016
E07000115,E10000016
E07000116,E10000016
E07000117,E10000017
E07000118,E10000017
E07000119,E10000017
E07000120,E10000017
E07000121,E10000017
E07000122,E10000017
E07000123,E10000017
E07000124,E10000017
E07000125,E10000017
E07000126,E10000017
E07000127,E10000017
E07000128,E10000017
E07000129,E10000018
E07000130,E10000018
E07000131,E10000018
E07000132,E10000018
E07000133,E10000018
E07000134,E10000018
E07000135,E10000018
E07000136,E10000019
E06000056,E06000056
E06000057,E06000057
E06000058,E06000058
E06000059,E06000059
E06000060,E06000060
E06000061,E06000061
E06000062,E06000062
E06000063,E06000063
E06000064,E06000064
E06000065,E06000065
E06000066,E06000066
E07000008,E10000003
E07000009,E10000003
E07000010,E10000003
E07000011,E10000003
E07000012,E10000003
